schedule_id,doctor_id,shift_date,shift_start,shift_end
SCH0000319,DOC0001,5/8/2025,8:00,14:00
SCH0000320,DOC0002,5/9/2024,14:00,20:00
SCH0000321,DOC0002,5/10/2024,8:00,14:00
SCH0000322,DOC0002,5/11/2024,8:00,14:00
SCH0000323,DOC0002,5/11/2024,14:00,20:00
SCH0000324,DOC0002,5/12/2024,14:00,20:00
SCH0000325,DOC0002,5/14/2024,20:00,8:00
SCH0000326,DOC0002,5/14/2024,8:00,14:00
SCH0000327,DOC0002,5/15/2024,14:00,20:00
SCH0000328,DOC0002,5/17/2024,20:00,8:00
SCH0000329,DOC0002,5/19/2024,20:00,8:00
SCH0000330,DOC0002,5/19/2024,8:00,14:00
SCH0000331,DOC0002,5/21/2024,20:00,8:00
SCH0000332,DOC0002,5/22/2024,14:00,20:00
SCH0000333,DOC0002,5/22/2024,8:00,14:00
SCH0000334,DOC0002,5/23/2024,14:00,20:00
SCH0000335,DOC0002,5/25/2024,20:00,8:00
SCH0000336,DOC0002,5/25/2024,14:00,20:00
SCH0000337,DOC0002,5/27/2024,14:00,20:00
SCH0000338,DOC0002,5/27/2024,20:00,8:00
SCH0000339,DOC0002,5/28/2024,8:00,14:00
SCH0000340,DOC0002,5/29/2024,8:00,14:00
SCH0000341,DOC0002,5/30/2024,8:00,14:00
SCH0000342,DOC0002,5/31/2024,8:00,14:00
SCH0000343,DOC0002,6/4/2024,8:00,14:00
SCH0000344,DOC0002,6/5/2024,14:00,20:00
SCH0000345,DOC0002,6/5/2024,20:00,8:00
SCH0000346,DOC0002,6/6/2024,20:00,8:00
SCH0000347,DOC0002,6/7/2024,20:00,8:00
SCH0000348,DOC0002,6/8/2024,8:00,14:00
SCH0000349,DOC0002,6/8/2024,14:00,20:00
SCH0000350,DOC0002,6/9/2024,20:00,8:00
SCH0000351,DOC0002,6/11/2024,20:00,8:00
SCH0000352,DOC0002,6/15/2024,8:00,14:00
SCH0000353,DOC0002,6/16/2024,8:00,14:00
SCH0000354,DOC0002,6/17/2024,20:00,8:00
SCH0000355,DOC0002,6/18/2024,20:00,8:00
SCH0000356,DOC0002,6/19/2024,8:00,14:00
SCH0000357,DOC0002,6/20/2024,8:00,14:00
SCH0000358,DOC0002,6/21/2024,20:00,8:00
SCH0000359,DOC0002,6/23/2024,14:00,20:00
SCH0000360,DOC0002,6/23/2024,20:00,8:00
SCH0000361,DOC0002,6/25/2024,20:00,8:00
SCH0000362,DOC0002,6/25/2024,8:00,14:00
SCH0000363,DOC0002,6/28/2024,14:00,20:00
SCH0000364,DOC0002,6/30/2024,20:00,8:00
SCH0000365,DOC0002,7/1/2024,20:00,8:00
SCH0000366,DOC0002,7/2/2024,8:00,14:00
SCH0000367,DOC0002,7/3/2024,8:00,14:00
SCH0000368,DOC0002,7/4/2024,20:00,8:00
SCH0000369,DOC0002,7/4/2024,14:00,20:00
SCH0000370,DOC0002,7/5/2024,8:00,14:00
SCH0000371,DOC0002,7/5/2024,20:00,8:00
SCH0000372,DOC0002,7/8/2024,20:00,8:00
SCH0000373,DOC0002,7/9/2024,20:00,8:00
SCH0000374,DOC0002,7/9/2024,8:00,14:00
SCH0000375,DOC0002,7/10/2024,14:00,20:00
SCH0000376,DOC0002,7/10/2024,8:00,14:00
SCH0000377,DOC0002,7/12/2024,14:00,20:00
SCH0000378,DOC0002,7/13/2024,20:00,8:00
SCH0000379,DOC0002,7/14/2024,14:00,20:00
SCH0000380,DOC0002,7/15/2024,8:00,14:00
SCH0000381,DOC0002,7/17/2024,14:00,20:00
SCH0000382,DOC0002,7/18/2024,8:00,14:00
SCH0000383,DOC0002,7/19/2024,8:00,14:00
SCH0000384,DOC0002,7/20/2024,20:00,8:00
SCH0000385,DOC0002,7/20/2024,8:00,14:00
SCH0000386,DOC0002,7/21/2024,14:00,20:00
SCH0000387,DOC0002,7/21/2024,20:00,8:00
SCH0000388,DOC0002,7/22/2024,20:00,8:00
SCH0000389,DOC0002,7/23/2024,20:00,8:00
SCH0000390,DOC0002,7/24/2024,8:00,14:00
SCH0000391,DOC0002,7/25/2024,14:00,20:00
SCH0000392,DOC0002,7/25/2024,20:00,8:00
SCH0000393,DOC0002,7/26/2024,14:00,20:00
SCH0000394,DOC0002,7/27/2024,14:00,20:00
SCH0000395,DOC0002,7/29/2024,20:00,8:00
SCH0000396,DOC0002,7/30/2024,8:00,14:00
SCH0000397,DOC0002,7/31/2024,20:00,8:00
SCH0000398,DOC0002,8/1/2024,14:00,20:00
SCH0000399,DOC0002,8/2/2024,20:00,8:00
SCH0000400,DOC0002,8/3/2024,8:00,14:00
SCH0000401,DOC0002,8/3/2024,20:00,8:00
SCH0000402,DOC0002,8/4/2024,20:00,8:00
SCH0000403,DOC0002,8/4/2024,8:00,14:00
SCH0000404,DOC0002,8/5/2024,20:00,8:00
SCH0000405,DOC0002,8/6/2024,20:00,8:00
SCH0000406,DOC0002,8/8/2024,14:00,20:00
SCH0000407,DOC0002,8/8/2024,20:00,8:00
SCH0000408,DOC0002,8/9/2024,8:00,14:00
SCH0000409,DOC0002,8/9/2024,20:00,8:00
SCH0000410,DOC0002,8/11/2024,8:00,14:00
SCH0000411,DOC0002,8/12/2024,20:00,8:00
SCH0000412,DOC0002,8/13/2024,8:00,14:00
SCH0000413,DOC0002,8/14/2024,8:00,14:00
SCH0000414,DOC0002,8/15/2024,14:00,20:00
SCH0000415,DOC0002,8/15/2024,20:00,8:00
SCH0000416,DOC0002,8/16/2024,20:00,8:00
SCH0000417,DOC0002,8/18/2024,14:00,20:00
SCH0000418,DOC0002,8/19/2024,20:00,8:00
SCH0000419,DOC0002,8/19/2024,14:00,20:00
SCH0000420,DOC0002,8/21/2024,14:00,20:00
SCH0000421,DOC0002,8/22/2024,14:00,20:00
SCH0000422,DOC0002,8/23/2024,8:00,14:00
SCH0000423,DOC0002,8/24/2024,8:00,14:00
SCH0000424,DOC0002,8/24/2024,20:00,8:00
SCH0000425,DOC0002,8/25/2024,14:00,20:00
SCH0000426,DOC0002,8/26/2024,20:00,8:00
SCH0000427,DOC0002,8/26/2024,8:00,14:00
SCH0000428,DOC0002,8/27/2024,20:00,8:00
SCH0000429,DOC0002,8/27/2024,8:00,14:00
SCH0000430,DOC0002,8/28/2024,14:00,20:00
SCH0000431,DOC0002,8/29/2024,14:00,20:00
SCH0000432,DOC0002,9/2/2024,14:00,20:00
SCH0000433,DOC0002,9/4/2024,20:00,8:00
SCH0000434,DOC0002,9/5/2024,20:00,8:00
SCH0000435,DOC0002,9/7/2024,8:00,14:00
SCH0000436,DOC0002,9/8/2024,14:00,20:00
SCH0000437,DOC0002,9/10/2024,14:00,20:00
SCH0000438,DOC0002,9/11/2024,14:00,20:00
SCH0000439,DOC0002,9/12/2024,8:00,14:00
SCH0000440,DOC0002,9/12/2024,14:00,20:00
SCH0000441,DOC0002,9/13/2024,8:00,14:00
SCH0000442,DOC0002,9/13/2024,14:00,20:00
SCH0000443,DOC0002,9/16/2024,8:00,14:00
SCH0000444,DOC0002,9/17/2024,14:00,20:00
SCH0000445,DOC0002,9/18/2024,14:00,20:00
SCH0000446,DOC0002,9/18/2024,8:00,14:00
SCH0000447,DOC0002,9/20/2024,20:00,8:00
SCH0000448,DOC0002,9/21/2024,8:00,14:00
SCH0000449,DOC0002,9/21/2024,14:00,20:00
SCH0000450,DOC0002,9/22/2024,14:00,20:00
SCH0000451,DOC0002,9/22/2024,8:00,14:00
SCH0000452,DOC0002,9/23/2024,8:00,14:00
SCH0000453,DOC0002,10/1/2024,14:00,20:00
SCH0000454,DOC0002,10/2/2024,20:00,8:00
SCH0000455,DOC0002,10/3/2024,14:00,20:00
SCH0000456,DOC0002,10/6/2024,14:00,20:00
SCH0000457,DOC0002,10/8/2024,14:00,20:00
SCH0000458,DOC0002,10/10/2024,14:00,20:00
SCH0000459,DOC0002,10/10/2024,20:00,8:00
SCH0000460,DOC0002,10/11/2024,20:00,8:00
SCH0000461,DOC0002,10/12/2024,14:00,20:00
SCH0000462,DOC0002,10/15/2024,20:00,8:00
SCH0000463,DOC0002,10/15/2024,8:00,14:00
SCH0000464,DOC0002,10/16/2024,14:00,20:00
SCH0000465,DOC0002,10/17/2024,14:00,20:00
SCH0000466,DOC0002,10/17/2024,8:00,14:00
SCH0000467,DOC0002,10/20/2024,14:00,20:00
SCH0000468,DOC0002,10/22/2024,8:00,14:00
SCH0000469,DOC0002,10/22/2024,14:00,20:00
SCH0000470,DOC0002,10/23/2024,14:00,20:00
SCH0000471,DOC0002,10/24/2024,14:00,20:00
SCH0000472,DOC0002,10/25/2024,8:00,14:00
SCH0000473,DOC0002,10/25/2024,20:00,8:00
SCH0000474,DOC0002,10/26/2024,14:00,20:00
SCH0000475,DOC0002,10/27/2024,20:00,8:00
SCH0000476,DOC0002,10/30/2024,8:00,14:00
SCH0000477,DOC0002,10/31/2024,14:00,20:00
SCH0000478,DOC0002,11/1/2024,14:00,20:00
SCH0000479,DOC0002,11/1/2024,8:00,14:00
SCH0000480,DOC0002,11/2/2024,14:00,20:00
SCH0000481,DOC0002,11/2/2024,8:00,14:00
SCH0000482,DOC0002,11/6/2024,20:00,8:00
SCH0000483,DOC0002,11/8/2024,14:00,20:00
SCH0000484,DOC0002,11/9/2024,14:00,20:00
SCH0000485,DOC0002,11/10/2024,20:00,8:00
SCH0000486,DOC0002,11/11/2024,14:00,20:00
SCH0000487,DOC0002,11/11/2024,20:00,8:00
SCH0000488,DOC0002,11/12/2024,14:00,20:00
SCH0000489,DOC0002,11/14/2024,14:00,20:00
SCH0000490,DOC0002,11/14/2024,8:00,14:00
SCH0000491,DOC0002,11/15/2024,14:00,20:00
SCH0000492,DOC0002,11/16/2024,14:00,20:00
SCH0000493,DOC0002,11/17/2024,14:00,20:00
SCH0000494,DOC0002,11/18/2024,14:00,20:00
SCH0000495,DOC0002,11/21/2024,8:00,14:00
SCH0000496,DOC0002,11/21/2024,20:00,8:00
SCH0000497,DOC0002,11/22/2024,14:00,20:00
SCH0000498,DOC0002,11/24/2024,14:00,20:00
