bed_id,hospital_id,department_id,bed_number,bed_type,availability_status
BED000042,H001,DEPT0002,ICU-042,ICU,Available
BED000043,H001,DEPT0002,ICU-043,ICU,Occupied
BED000044,H001,DEPT0002,ICU-044,ICU,Available
BED000045,H001,DEPT0002,ICU-045,ICU,Occupied
BED000046,H001,DEPT0002,ICU-046,ICU,Occupied
BED000047,H001,DEPT0002,ICU-047,ICU,Occupied
BED000048,H001,DEPT0002,ICU-048,ICU,Occupied
BED000049,H001,DEPT0002,ICU-049,ICU,Occupied
BED000050,H001,DEPT0002,ICU-050,ICU,Occupied
BED000051,H001,DEPT0002,ICU-051,ICU,Occupied
BED000052,H001,DEPT0002,ICU-052,ICU,Available
BED000053,H001,DEPT0002,ICU-053,ICU,Occupied
BED000054,H001,DEPT0002,ICU-054,ICU,Occupied
BED000055,H001,DEPT0002,ICU-055,ICU,Occupied
BED000056,H001,DEPT0002,ICU-056,ICU,Available
BED000057,H001,DEPT0002,ICU-057,ICU,Available
BED000058,H001,DEPT0002,ICU-058,ICU,Occupied
BED000059,H001,DEPT0002,ICU-059,ICU,Occupied
BED000060,H001,DEPT0002,ICU-060,ICU,Occupied
BED000061,H001,DEPT0001,ER-001,Emergency,Occupied
BED000062,H001,DEPT0001,ER-002,Emergency,Available
BED000063,H001,DEPT0001,ER-003,Emergency,Occupied
BED000064,H001,DEPT0001,ER-004,Emergency,Available
BED000065,H001,DEPT0001,ER-005,Emergency,Available
BED000066,H001,DEPT0001,ER-006,Emergency,Occupied
BED000067,H001,DEPT0001,ER-007,Emergency,Occupied
BED000068,H001,DEPT0001,ER-008,Emergency,Occupied
BED000069,H001,DEPT0001,ER-009,Emergency,Occupied
BED000070,H001,DEPT0001,ER-010,Emergency,Occupied
BED000071,H001,DEPT0001,ER-011,Emergency,Available
BED000072,H001,DEPT0001,ER-012,Emergency,Occupied
BED000073,H001,DEPT0001,ER-013,Emergency,Available
BED000074,H001,DEPT0001,ER-014,Emergency,Available
BED000075,H001,DEPT0001,ER-015,Emergency,Occupied
BED000076,H001,DEPT0001,ER-016,Emergency,Available
BED000077,H001,DEPT0001,ER-017,Emergency,Occupied
BED000078,H001,DEPT0001,ER-018,Emergency,Occupied
BED000079,H001,DEPT0001,ER-019,Emergency,Available
BED000080,H001,DEPT0001,ER-020,Emergency,Occupied
BED000081,H001,DEPT0001,ER-021,Emergency,Occupied
BED000082,H001,DEPT0001,ER-022,Emergency,Occupied
BED000083,H001,DEPT0001,ER-023,Emergency,Occupied
BED000084,H001,DEPT0001,ER-024,Emergency,Available
BED000085,H001,DEPT0001,ER-025,Emergency,Occupied
BED000086,H001,DEPT0001,ER-026,Emergency,Available
BED000087,H001,DEPT0001,ER-027,Emergency,Occupied
BED000088,H001,DEPT0001,ER-028,Emergency,Occupied
BED000089,H001,DEPT0001,ER-029,Emergency,Occupied
BED000090,H001,DEPT0001,ER-030,Emergency,Occupied
BED000091,H001,DEPT0001,ER-031,Emergency,Occupied
BED000092,H001,DEPT0001,ER-032,Emergency,Occupied
BED000093,H001,DEPT0001,ER-033,Emergency,Occupied
BED000094,H001,DEPT0001,ER-034,Emergency,Available
BED000095,H001,DEPT0001,ER-035,Emergency,Available
BED000096,H001,DEPT0001,ER-036,Emergency,Occupied
BED000097,H001,DEPT0001,ER-037,Emergency,Occupied
BED000098,H001,DEPT0001,ER-038,Emergency,Available
BED000099,H001,DEPT0001,ER-039,Emergency,Occupied
BED000100,H001,DEPT0001,ER-040,Emergency,Occupied
BED000101,H001,DEPT0001,ER-041,Emergency,Available
BED000102,H001,DEPT0001,ER-042,Emergency,Occupied
BED000103,H001,DEPT0001,ER-043,Emergency,Available
BED000104,H001,DEPT0001,ER-044,Emergency,Occupied
BED000105,H001,DEPT0001,ER-045,Emergency,Occupied
BED000106,H001,DEPT0001,ER-046,Emergency,Available
BED000107,H001,DEPT0001,ER-047,Emergency,Occupied
BED000108,H001,DEPT0001,ER-048,Emergency,Occupied
BED000109,H001,DEPT0003,INT-001,Standard,Under Maintenance
BED000110,H001,DEPT0003,INT-002,Standard,Available
BED000111,H001,DEPT0003,INT-003,Standard,Occupied
BED000112,H001,DEPT0003,INT-004,Standard,Available
BED000113,H001,DEPT0003,INT-005,Standard,Available
BED000114,H001,DEPT0003,INT-006,Standard,Available
BED000115,H001,DEPT0003,INT-007,Standard,Available
BED000116,H001,DEPT0003,INT-008,Standard,Occupied
BED000117,H001,DEPT0003,INT-009,Standard,Occupied
BED000118,H001,DEPT0003,INT-010,Standard,Occupied
BED000119,H001,DEPT0003,INT-011,Standard,Occupied
BED000120,H001,DEPT0003,INT-012,Standard,Occupied
BED000121,H001,DEPT0003,INT-013,Standard,Occupied
BED000122,H001,DEPT0003,INT-014,Standard,Occupied
BED000123,H001,DEPT0003,INT-015,Standard,Occupied
BED000124,H001,DEPT0003,INT-016,Standard,Available
BED000125,H001,DEPT0003,INT-017,Standard,Occupied
BED000126,H001,DEPT0003,INT-018,Standard,Available
BED000127,H001,DEPT0003,INT-019,Standard,Available
BED000128,H001,DEPT0003,INT-020,Standard,Available
BED000129,H001,DEPT0003,INT-021,Standard,Available
BED000130,H001,DEPT0003,INT-022,Standard,Occupied
BED000131,H001,DEPT0003,INT-023,Standard,Available
BED000132,H001,DEPT0003,INT-024,Standard,Available
BED000133,H001,DEPT0003,INT-025,Standard,Occupied
BED000134,H001,DEPT0003,INT-026,Standard,Available
BED000135,H001,DEPT0003,INT-027,Standard,Occupied
BED000136,H001,DEPT0003,INT-028,Standard,Available
BED000137,H001,DEPT0003,INT-029,Standard,Occupied
BED000138,H001,DEPT0003,INT-030,Standard,Occupied
BED000139,H001,DEPT0003,INT-031,Standard,Available
BED000140,H001,DEPT0003,INT-032,Standard,Available
BED000141,H001,DEPT0004,CAR-001,Standard,Occupied
BED000142,H001,DEPT0004,CAR-002,Standard,Available
BED000143,H001,DEPT0004,CAR-003,Standard,Occupied
BED000144,H001,DEPT0004,CAR-004,Standard,Available
BED000145,H001,DEPT0004,CAR-005,Standard,Available
BED000146,H001,DEPT0004,CAR-006,Standard,Occupied
BED000147,H001,DEPT0004,CAR-007,Standard,Available
BED000148,H001,DEPT0004,CAR-008,Standard,Available
BED000149,H001,DEPT0004,CAR-009,Standard,Available
BED000150,H001,DEPT0004,CAR-010,Standard,Available
BED000151,H001,DEPT0004,CAR-011,Standard,Occupied
BED000152,H001,DEPT0004,CAR-012,Standard,Occupied
BED000153,H001,DEPT0004,CAR-013,Standard,Occupied
BED000154,H001,DEPT0004,CAR-014,Standard,Occupied
BED000155,H001,DEPT0004,CAR-015,Standard,Available
BED000156,H001,DEPT0004,CAR-016,Standard,Available
BED000157,H001,DEPT0004,CAR-017,Standard,Available
BED000158,H001,DEPT0004,CAR-018,Standard,Occupied
BED000159,H001,DEPT0004,CAR-019,Standard,Occupied
BED000160,H001,DEPT0004,CAR-020,Standard,Available
BED000161,H001,DEPT0004,CAR-021,Standard,Occupied
BED000162,H001,DEPT0004,CAR-022,Standard,Occupied
BED000163,H001,DEPT0004,CAR-023,Standard,Available
BED000164,H001,DEPT0004,CAR-024,Standard,Occupied
BED000165,H001,DEPT0004,CAR-025,Standard,Available
BED000166,H001,DEPT0004,CAR-026,Standard,Available
BED000167,H001,DEPT0004,CAR-027,Standard,Occupied
BED000168,H001,DEPT0004,CAR-028,Standard,Occupied
BED000169,H001,DEPT0004,CAR-029,Standard,Occupied
BED000170,H001,DEPT0004,CAR-030,Standard,Available
BED000171,H001,DEPT0004,CAR-031,Standard,Occupied
BED000172,H001,DEPT0004,CAR-032,Standard,Available
BED000173,H001,DEPT0005,PUL-001,Standard,Occupied
BED000174,H001,DEPT0005,PUL-002,Standard,Occupied
BED000175,H001,DEPT0005,PUL-003,Standard,Occupied
BED000176,H001,DEPT0005,PUL-004,Standard,Available
BED000177,H001,DEPT0005,PUL-005,Standard,Occupied
BED000178,H001,DEPT0005,PUL-006,Standard,Occupied
BED000179,H001,DEPT0005,PUL-007,Standard,Occupied
BED000180,H001,DEPT0005,PUL-008,Standard,Available
BED000181,H001,DEPT0005,PUL-009,Standard,Available
BED000182,H001,DEPT0005,PUL-010,Standard,Occupied
BED000183,H001,DEPT0005,PUL-011,Standard,Available
BED000184,H001,DEPT0005,PUL-012,Standard,Occupied
BED000185,H001,DEPT0005,PUL-013,Standard,Occupied
BED000186,H001,DEPT0005,PUL-014,Standard,Occupied
BED000187,H001,DEPT0005,PUL-015,Standard,Occupied
BED000188,H001,DEPT0005,PUL-016,Standard,Occupied
BED000189,H001,DEPT0005,PUL-017,Standard,Occupied
BED000190,H001,DEPT0005,PUL-018,Standard,Occupied
BED000191,H001,DEPT0005,PUL-019,Standard,Available
BED000192,H001,DEPT0005,PUL-020,Standard,Available
BED000193,H001,DEPT0005,PUL-021,Standard,Occupied
BED000194,H001,DEPT0005,PUL-022,Standard,Occupied
BED000195,H001,DEPT0005,PUL-023,Standard,Available
BED000196,H001,DEPT0005,PUL-024,Standard,Occupied
BED000197,H001,DEPT0005,PUL-025,Standard,Occupied
BED000198,H001,DEPT0005,PUL-026,Standard,Occupied
BED000199,H001,DEPT0005,PUL-027,Standard,Occupied
BED000200,H001,DEPT0005,PUL-028,Standard,Available
BED000201,H001,DEPT0005,PUL-029,Standard,Available
BED000202,H001,DEPT0005,PUL-030,Standard,Occupied
BED000203,H001,DEPT0005,PUL-031,Standard,Available
BED000204,H001,DEPT0005,PUL-032,Standard,Available
BED000205,H001,DEPT0006,NEU-001,Standard,Available
BED000206,H001,DEPT0006,NEU-002,Standard,Available
BED000207,H001,DEPT0006,NEU-003,Standard,Occupied
BED000208,H001,DEPT0006,NEU-004,Standard,Occupied
BED000209,H001,DEPT0006,NEU-005,Standard,Available
BED000210,H001,DEPT0006,NEU-006,Standard,Available
BED000211,H001,DEPT0006,NEU-007,Standard,Available
BED000212,H001,DEPT0006,NEU-008,Standard,Occupied
BED000213,H001,DEPT0006,NEU-009,Standard,Available
BED000214,H001,DEPT0006,NEU-010,Standard,Occupied
BED000215,H001,DEPT0006,NEU-011,Standard,Available
BED000216,H001,DEPT0006,NEU-012,Standard,Occupied
BED000217,H001,DEPT0006,NEU-013,Standard,Occupied
BED000218,H001,DEPT0006,NEU-014,Standard,Available
BED000219,H001,DEPT0006,NEU-015,Standard,Occupied
BED000220,H001,DEPT0006,NEU-016,Standard,Available
BED000221,H001,DEPT0006,NEU-017,Standard,Occupied
BED000222,H001,DEPT0006,NEU-018,Standard,Occupied
BED000223,H001,DEPT0006,NEU-019,Standard,Occupied
BED000224,H001,DEPT0006,NEU-020,Standard,Available
BED000225,H001,DEPT0006,NEU-021,Standard,Occupied
BED000226,H001,DEPT0006,NEU-022,Standard,Available
BED000227,H001,DEPT0006,NEU-023,Standard,Occupied
BED000228,H001,DEPT0006,NEU-024,Standard,Available
BED000229,H001,DEPT0006,NEU-025,Standard,Available
BED000230,H001,DEPT0006,NEU-026,Standard,Occupied
BED000231,H001,DEPT0006,NEU-027,Standard,Available
BED000232,H001,DEPT0006,NEU-028,Standard,Available
BED000233,H001,DEPT0006,NEU-029,Standard,Available
BED000234,H001,DEPT0006,NEU-030,Standard,Occupied
BED000235,H001,DEPT0006,NEU-031,Standard,Occupied
BED000236,H001,DEPT0006,NEU-032,Standard,Occupied
BED000237,H001,DEPT0007,GAS-001,Standard,Occupied
BED000238,H001,DEPT0007,GAS-002,Standard,Occupied
BED000239,H001,DEPT0007,GAS-003,Standard,Available
BED000240,H001,DEPT0007,GAS-004,Standard,Occupied
BED000241,H001,DEPT0007,GAS-005,Standard,Available
BED000242,H001,DEPT0007,GAS-006,Standard,Occupied
BED000243,H001,DEPT0007,GAS-007,Standard,Occupied
BED000244,H001,DEPT0007,GAS-008,Standard,Occupied
BED000245,H001,DEPT0007,GAS-009,Standard,Available
BED000246,H001,DEPT0007,GAS-010,Standard,Occupied
BED000247,H001,DEPT0007,GAS-011,Standard,Occupied
BED000248,H001,DEPT0007,GAS-012,Standard,Available
BED000249,H001,DEPT0007,GAS-013,Standard,Occupied
BED000250,H001,DEPT0007,GAS-014,Standard,Occupied
BED000251,H001,DEPT0007,GAS-015,Standard,Available
BED000252,H001,DEPT0007,GAS-016,Standard,Occupied
BED000253,H001,DEPT0007,GAS-017,Standard,Occupied
BED000254,H001,DEPT0007,GAS-018,Standard,Occupied
BED000255,H001,DEPT0007,GAS-019,Standard,Available
BED000256,H001,DEPT0007,GAS-020,Standard,Available
BED000257,H001,DEPT0007,GAS-021,Standard,Occupied
BED000258,H001,DEPT0007,GAS-022,Standard,Available
BED000259,H001,DEPT0007,GAS-023,Standard,Available
BED000260,H001,DEPT0007,GAS-024,Standard,Occupied
BED000261,H001,DEPT0007,GAS-025,Standard,Occupied
BED000262,H001,DEPT0007,GAS-026,Standard,Available
BED000263,H001,DEPT0007,GAS-027,Standard,Occupied
BED000264,H001,DEPT0007,GAS-028,Standard,Available
BED000265,H001,DEPT0007,GAS-029,Standard,Available
BED000266,H001,DEPT0007,GAS-030,Standard,Under Maintenance
BED000267,H001,DEPT0007,GAS-031,Standard,Available
BED000268,H001,DEPT0007,GAS-032,Standard,Occupied
BED000269,H001,DEPT0008,NEP-001,Standard,Occupied
BED000270,H001,DEPT0008,NEP-002,Standard,Available
BED000271,H001,DEPT0008,NEP-003,Standard,Occupied
BED000272,H001,DEPT0008,NEP-004,Standard,Available
BED000273,H001,DEPT0008,NEP-005,Standard,Occupied
BED000274,H001,DEPT0008,NEP-006,Standard,Occupied
BED000275,H001,DEPT0008,NEP-007,Standard,Available
BED000276,H001,DEPT0008,NEP-008,Standard,Occupied
BED000277,H001,DEPT0008,NEP-009,Standard,Available
BED000278,H001,DEPT0008,NEP-010,Standard,Occupied
BED000279,H001,DEPT0008,NEP-011,Standard,Available
BED000280,H001,DEPT0008,NEP-012,Standard,Occupied
BED000281,H001,DEPT0008,NEP-013,Standard,Available
BED000282,H001,DEPT0008,NEP-014,Standard,Occupied
BED000283,H001,DEPT0008,NEP-015,Standard,Available
BED000284,H001,DEPT0008,NEP-016,Standard,Available
BED000285,H001,DEPT0008,NEP-017,Standard,Occupied
BED000286,H001,DEPT0008,NEP-018,Standard,Occupied
BED000287,H001,DEPT0008,NEP-019,Standard,Available
BED000288,H001,DEPT0008,NEP-020,Standard,Occupied
BED000289,H001,DEPT0008,NEP-021,Standard,Occupied
BED000290,H001,DEPT0008,NEP-022,Standard,Occupied
BED000291,H001,DEPT0008,NEP-023,Standard,Occupied
BED000292,H001,DEPT0008,NEP-024,Standard,Occupied
BED000293,H001,DEPT0008,NEP-025,Standard,Occupied
BED000294,H001,DEPT0008,NEP-026,Standard,Occupied
BED000295,H001,DEPT0008,NEP-027,Standard,Occupied
BED000296,H001,DEPT0008,NEP-028,Standard,Available
BED000297,H001,DEPT0008,NEP-029,Standard,Available
BED000298,H001,DEPT0008,NEP-030,Standard,Under Maintenance
BED000299,H001,DEPT0008,NEP-031,Standard,Occupied
BED000300,H001,DEPT0008,NEP-032,Standard,Occupied
BED000301,H001,DEPT0009,END-001,Standard,Available
BED000302,H001,DEPT0009,END-002,Standard,Occupied
BED000303,H001,DEPT0009,END-003,Standard,Occupied
BED000304,H001,DEPT0009,END-004,Standard,Occupied
BED000305,H001,DEPT0009,END-005,Standard,Available
BED000306,H001,DEPT0009,END-006,Standard,Available
BED000307,H001,DEPT0009,END-007,Standard,Occupied
BED000308,H001,DEPT0009,END-008,Standard,Occupied
BED000309,H001,DEPT0009,END-009,Standard,Occupied
BED000310,H001,DEPT0009,END-010,Standard,Occupied
BED000311,H001,DEPT0009,END-011,Standard,Occupied
BED000312,H001,DEPT0009,END-012,Standard,Available
BED000313,H001,DEPT0009,END-013,Standard,Available
BED000314,H001,DEPT0009,END-014,Standard,Available
BED000315,H001,DEPT0009,END-015,Standard,Occupied
BED000316,H001,DEPT0009,END-016,Standard,Available
BED000317,H001,DEPT0009,END-017,Standard,Occupied
BED000318,H001,DEPT0009,END-018,Standard,Occupied
BED000319,H001,DEPT0009,END-019,Standard,Available
BED000320,H001,DEPT0009,END-020,Standard,Occupied
BED000321,H001,DEPT0009,END-021,Standard,Occupied
BED000322,H001,DEPT0009,END-022,Standard,Available
BED000323,H001,DEPT0009,END-023,Standard,Occupied
BED000324,H001,DEPT0009,END-024,Standard,Occupied
BED000325,H001,DEPT0009,END-025,Standard,Occupied
BED000326,H001,DEPT0009,END-026,Standard,Available
BED000327,H001,DEPT0009,END-027,Standard,Occupied
BED000328,H001,DEPT0009,END-028,Standard,Available
BED000329,H001,DEPT0009,END-029,Standard,Occupied
BED000330,H001,DEPT0009,END-030,Standard,Available
BED000331,H001,DEPT0009,END-031,Standard,Available
BED000332,H001,DEPT0009,END-032,Standard,Available
BED000333,H001,DEPT0010,ORT-001,Standard,Available
BED000334,H001,DEPT0010,ORT-002,Standard,Occupied
BED000335,H001,DEPT0010,ORT-003,Standard,Occupied
BED000336,H001,DEPT0010,ORT-004,Standard,Occupied
BED000337,H001,DEPT0010,ORT-005,Standard,Available
BED000338,H001,DEPT0010,ORT-006,Standard,Under Maintenance
BED000339,H001,DEPT0010,ORT-007,Standard,Available
BED000340,H001,DEPT0010,ORT-008,Standard,Occupied
BED000341,H001,DEPT0010,ORT-009,Standard,Occupied
BED000342,H001,DEPT0010,ORT-010,Standard,Available
BED000343,H001,DEPT0010,ORT-011,Standard,Occupied
BED000344,H001,DEPT0010,ORT-012,Standard,Available
BED000345,H001,DEPT0010,ORT-013,Standard,Occupied
BED000346,H001,DEPT0010,ORT-014,Standard,Available
BED000347,H001,DEPT0010,ORT-015,Standard,Occupied
BED000348,H001,DEPT0010,ORT-016,Standard,Available
BED000349,H001,DEPT0010,ORT-017,Standard,Available
BED000350,H001,DEPT0010,ORT-018,Standard,Occupied
BED000351,H001,DEPT0010,ORT-019,Standard,Occupied
BED000352,H001,DEPT0010,ORT-020,Standard,Available
BED000353,H001,DEPT0010,ORT-021,Standard,Available
BED000354,H001,DEPT0010,ORT-022,Standard,Available
BED000355,H001,DEPT0010,ORT-023,Standard,Available
BED000356,H001,DEPT0010,ORT-024,Standard,Occupied
BED000357,H001,DEPT0010,ORT-025,Standard,Occupied
BED000358,H001,DEPT0010,ORT-026,Standard,Available
BED000359,H001,DEPT0010,ORT-027,Standard,Available
BED000360,H001,DEPT0010,ORT-028,Standard,Available
BED000361,H001,DEPT0010,ORT-029,Standard,Under Maintenance
BED000362,H001,DEPT0010,ORT-030,Standard,Occupied
BED000363,H001,DEPT0010,ORT-031,Standard,Occupied
BED000364,H001,DEPT0010,ORT-032,Standard,Occupied
BED000365,H001,DEPT0011,GEN-001,Standard,Occupied
BED000366,H001,DEPT0011,GEN-002,Standard,Available
BED000367,H001,DEPT0011,GEN-003,Standard,Occupied
BED000368,H001,DEPT0011,GEN-004,Standard,Available
BED000369,H001,DEPT0011,GEN-005,Standard,Available
BED000370,H001,DEPT0011,GEN-006,Standard,Available
BED000371,H001,DEPT0011,GEN-007,Standard,Available
BED000372,H001,DEPT0011,GEN-008,Standard,Occupied
BED000373,H001,DEPT0011,GEN-009,Standard,Occupied
BED000374,H001,DEPT0011,GEN-010,Standard,Occupied
BED000375,H001,DEPT0011,GEN-011,Standard,Under Maintenance
BED000376,H001,DEPT0011,GEN-012,Standard,Under Maintenance
BED000377,H001,DEPT0011,GEN-013,Standard,Available
BED000378,H001,DEPT0011,GEN-014,Standard,Available
BED000379,H001,DEPT0011,GEN-015,Standard,Occupied
BED000380,H001,DEPT0011,GEN-016,Standard,Occupied
BED000381,H001,DEPT0011,GEN-017,Standard,Available
BED000382,H001,DEPT0011,GEN-018,Standard,Available
BED000383,H001,DEPT0011,GEN-019,Standard,Available
BED000384,H001,DEPT0011,GEN-020,Standard,Available
BED000385,H001,DEPT0011,GEN-021,Standard,Occupied
BED000386,H001,DEPT0011,GEN-022,Standard,Occupied
BED000387,H001,DEPT0011,GEN-023,Standard,Occupied
BED000388,H001,DEPT0011,GEN-024,Standard,Occupied
BED000389,H001,DEPT0011,GEN-025,Standard,Occupied
BED000390,H001,DEPT0011,GEN-026,Standard,Available
BED000391,H001,DEPT0011,GEN-027,Standard,Available
BED000392,H001,DEPT0011,GEN-028,Standard,Available
BED000393,H001,DEPT0011,GEN-029,Standard,Available
BED000394,H001,DEPT0011,GEN-030,Standard,Occupied
BED000395,H001,DEPT0011,GEN-031,Standard,Occupied
BED000396,H001,DEPT0011,GEN-032,Standard,Occupied
BED000397,H001,DEPT0012,PED-001,Standard,Occupied
BED000398,H001,DEPT0012,PED-002,Standard,Available
BED000399,H001,DEPT0012,PED-003,Standard,Occupied
BED000400,H001,DEPT0012,PED-004,Standard,Occupied
BED000401,H001,DEPT0012,PED-005,Standard,Under Maintenance
BED000402,H001,DEPT0012,PED-006,Standard,Available
BED000403,H001,DEPT0012,PED-007,Standard,Occupied
BED000404,H001,DEPT0012,PED-008,Standard,Available
BED000405,H001,DEPT0012,PED-009,Standard,Available
BED000406,H001,DEPT0012,PED-010,Standard,Available
BED000407,H001,DEPT0012,PED-011,Standard,Occupied
BED000408,H001,DEPT0012,PED-012,Standard,Available
BED000409,H001,DEPT0012,PED-013,Standard,Occupied
BED000410,H001,DEPT0012,PED-014,Standard,Under Maintenance
BED000411,H001,DEPT0012,PED-015,Standard,Occupied
BED000412,H001,DEPT0012,PED-016,Standard,Available
BED000413,H001,DEPT0012,PED-017,Standard,Occupied
BED000414,H001,DEPT0012,PED-018,Standard,Available
BED000415,H001,DEPT0012,PED-019,Standard,Occupied
BED000416,H001,DEPT0012,PED-020,Standard,Available
BED000417,H001,DEPT0012,PED-021,Standard,Available
BED000418,H001,DEPT0012,PED-022,Standard,Available
BED000419,H001,DEPT0012,PED-023,Standard,Under Maintenance
BED000420,H001,DEPT0012,PED-024,Standard,Available
BED000421,H001,DEPT0012,PED-025,Standard,Available
BED000422,H001,DEPT0012,PED-026,Standard,Occupied
BED000423,H001,DEPT0012,PED-027,Standard,Occupied
BED000424,H001,DEPT0012,PED-028,Standard,Available
BED000425,H001,DEPT0012,PED-029,Standard,Under Maintenance
BED000426,H001,DEPT0012,PED-030,Standard,Available
BED000427,H001,DEPT0012,PED-031,Standard,Available
BED000428,H001,DEPT0012,PED-032,Standard,Available
BED000429,H001,DEPT0013,OBS-001,Standard,Occupied
BED000430,H001,DEPT0013,OBS-002,Standard,Available
BED000431,H001,DEPT0013,OBS-003,Standard,Available
BED000432,H001,DEPT0013,OBS-004,Standard,Occupied
BED000433,H001,DEPT0013,OBS-005,Standard,Available
BED000434,H001,DEPT0013,OBS-006,Standard,Available
BED000435,H001,DEPT0013,OBS-007,Standard,Occupied
BED000436,H001,DEPT0013,OBS-008,Standard,Occupied
BED000437,H001,DEPT0013,OBS-009,Standard,Available
BED000438,H001,DEPT0013,OBS-010,Standard,Occupied
BED000439,H001,DEPT0013,OBS-011,Standard,Occupied
BED000440,H001,DEPT0013,OBS-012,Standard,Occupied
BED000441,H001,DEPT0013,OBS-013,Standard,Available
BED000442,H001,DEPT0013,OBS-014,Standard,Occupied
BED000443,H001,DEPT0013,OBS-015,Standard,Available
BED000444,H001,DEPT0013,OBS-016,Standard,Occupied
BED000445,H001,DEPT0013,OBS-017,Standard,Occupied
BED000446,H001,DEPT0013,OBS-018,Standard,Occupied
BED000447,H001,DEPT0013,OBS-019,Standard,Available
BED000448,H001,DEPT0013,OBS-020,Standard,Occupied
BED000449,H001,DEPT0013,OBS-021,Standard,Under Maintenance
BED000450,H001,DEPT0013,OBS-022,Standard,Occupied
BED000451,H001,DEPT0013,OBS-023,Standard,Occupied
BED000452,H001,DEPT0013,OBS-024,Standard,Occupied
BED000453,H001,DEPT0013,OBS-025,Standard,Available
BED000454,H001,DEPT0013,OBS-026,Standard,Available
BED000455,H001,DEPT0013,OBS-027,Standard,Occupied
BED000456,H001,DEPT0013,OBS-028,Standard,Occupied
BED000457,H001,DEPT0013,OBS-029,Standard,Under Maintenance
BED000458,H001,DEPT0013,OBS-030,Standard,Occupied
BED000459,H001,DEPT0013,OBS-031,Standard,Occupied
BED000460,H001,DEPT0013,OBS-032,Standard,Occupied
BED000461,H001,DEPT0014,DER-001,Standard,Occupied
BED000462,H001,DEPT0014,DER-002,Standard,Available
BED000463,H001,DEPT0014,DER-003,Standard,Available
BED000464,H001,DEPT0014,DER-004,Standard,Occupied
BED000465,H001,DEPT0014,DER-005,Standard,Available
BED000466,H001,DEPT0014,DER-006,Standard,Available
BED000467,H001,DEPT0014,DER-007,Standard,Available
BED000468,H001,DEPT0014,DER-008,Standard,Available
BED000469,H001,DEPT0014,DER-009,Standard,Available
BED000470,H001,DEPT0014,DER-010,Standard,Available
BED000471,H001,DEPT0014,DER-011,Standard,Available
BED000472,H001,DEPT0014,DER-012,Standard,Occupied
BED000473,H001,DEPT0014,DER-013,Standard,Occupied
BED000474,H001,DEPT0014,DER-014,Standard,Occupied
BED000475,H001,DEPT0014,DER-015,Standard,Occupied
BED000476,H001,DEPT0014,DER-016,Standard,Occupied
BED000477,H001,DEPT0014,DER-017,Standard,Occupied
BED000478,H001,DEPT0014,DER-018,Standard,Available
BED000479,H001,DEPT0014,DER-019,Standard,Occupied
BED000480,H001,DEPT0014,DER-020,Standard,Available
BED000481,H001,DEPT0014,DER-021,Standard,Available
